events,condition,target,candidates,ties,reassigned_candidates,both_displaced_events,wall_seconds,peak_rss_kib
2,time,C02-T021,256,0,70,140,3.1150370426476,1485756
2,time,C02-T022,256,0,112,224,2.6854393677785993,1485756
2,time,C02-T023,256,0,0,0,3.1292965272441506,1485756
2,time,C02-T024,256,0,109,218,2.719902384094894,1485756
2,time,C02-T025,256,0,0,0,3.1356415078043938,1485756
2,time,C02-T026,256,0,0,0,3.1364059345796704,1485756
2,time,C02-T027,256,0,35,70,2.7884537037461996,1485756
2,time,C02-T028,256,0,131,262,2.586969186551869,1485756
2,time,C02-T029,256,0,13,26,3.1089720111340284,1485756
2,time,C02-T030,256,0,125,250,2.609564599581063,1485756
2,time,C02-T031,256,0,51,102,2.5888586677610874,1485756
4,time,C04-T000,256,0,185,446,5.064662951044738,1485756
4,time,C04-T001,256,0,221,580,4.5113172978162766,1486524
4,time,C04-T002,256,0,185,499,5.057375531643629,1486524
4,time,C04-T003,256,0,197,462,4.857386169023812,1486524
4,time,C04-T004,256,0,166,367,4.610829847864807,1486524
4,time,C04-T005,256,0,223,651,4.937658021226525,1486524
4,time,C04-T006,256,0,118,247,4.741117463447154,1486524
4,time,C04-T007,256,0,136,300,4.600573494099081,1486524
4,time,C04-T008,256,0,181,426,4.823707380332053,1486524
4,time,C04-T009,256,0,131,266,4.993460061959922,1486524
4,time,C04-T010,256,0,107,233,4.9971673507243395,1486524
4,time,C04-T011,256,0,225,648,4.627695471979678,1486524
4,time,C04-T012,256,0,194,459,4.785862321965396,1486524
4,time,C04-T013,256,0,192,479,4.683113679289818,1486524
4,time,C04-T014,256,0,146,328,5.0102378046140075,1486524
4,time,C04-T015,256,0,181,464,5.054002780467272,1486524
4,time,C04-T016,256,0,217,508,5.0377936363220215,1486524
4,time,C04-T017,256,0,199,470,4.8361747013404965,1486524
4,time,C04-T018,256,0,198,546,4.903383776545525,1486524
4,time,C04-T019,256,0,114,249,4.884279744699597,1489084
4,time,C04-T020,256,0,158,355,4.771959926001728,1489084
4,time,C04-T021,256,0,128,257,4.98138992022723,1489084
4,time,C04-T022,256,0,189,506,4.830134842544794,1489084
4,time,C04-T023,256,0,203,491,4.579409561119974,1489084
4,time,C04-T024,256,0,204,492,5.017403518781066,1489084
4,time,C04-T025,256,0,192,441,4.855408534407616,1489084
4,time,C04-T026,256,0,198,540,5.003641834482551,1489084
4,time,C04-T027,256,0,174,382,4.959907685406506,1489084
4,time,C04-T028,256,0,177,443,5.014922856353223,1489084
4,time,C04-T029,256,0,160,356,5.13920436706394,1489084
4,time,C04-T030,256,0,172,426,4.704089570790529,1489084
4,time,C04-T031,256,0,173,439,4.896696811541915,1489084
2,joint,C02-T000,512,0,250,1024,6.241975719109178,1491240
2,joint,C02-T001,512,0,268,1024,6.255332855507731,1491240
2,joint,C02-T002,512,0,252,1024,6.195226864889264,1491240
2,joint,C02-T003,512,0,248,1024,6.335178382694721,1491240
2,joint,C02-T004,512,0,252,1024,6.222682313993573,1491240
