events,condition,candidates_per_target,targets,loss,metric,mean,sd,median
4,pitch,256,32,log_jtfot,time_directed,0.4907106020172898,0.07193489260652255,0.5073464041160669
4,pitch,256,32,bidirectional_cumulative_energy,time_directed,0.5159827315184229,0.062105865486704756,0.5104915514592934
4,pitch,256,32,log_quadrature_bicul,time_directed,0.5067596763014416,0.06515025927614768,0.5025598032640286
4,pitch,256,32,fading,time_directed,0.5409725202469868,0.07925978763993848,0.5324814093541318
4,pitch,256,32,waveform_l1,dot_directed,0.544830322265625,0.0758847297945191,0.53662109375
4,pitch,256,32,waveform_mse,dot_directed,0.5252685546875,0.10069605781602597,0.517578125
4,pitch,256,32,single_stft,dot_directed,0.614837646484375,0.04470553744251483,0.60888671875
4,pitch,256,32,linear_mss,dot_directed,0.62786865234375,0.06256048290810298,0.63623046875
4,pitch,256,32,smooth_mss,dot_directed,0.669769287109375,0.0769790216062376,0.6728515625
4,pitch,256,32,sot_published_composite,dot_directed,0.669464111328125,0.0662541175974339,0.67041015625
4,pitch,256,32,linear_jtfot,dot_directed,0.600372314453125,0.057834746346738256,0.599609375
4,pitch,256,32,log_jtfot,dot_directed,0.622650146484375,0.060819039950403796,0.62646484375
4,pitch,256,32,bidirectional_cumulative_energy,dot_directed,0.722442626953125,0.05701509450010557,0.73291015625
4,pitch,256,32,log_quadrature_bicul,dot_directed,0.7320556640625,0.05924212316655853,0.74267578125
4,pitch,256,32,fading,dot_directed,0.77783203125,0.058699710977682056,0.7880859375
4,pitch,256,32,waveform_l1,cosine,0.0037275254437521134,0.09397743615912785,-0.0017596457988425804
4,pitch,256,32,waveform_mse,cosine,-0.0008619287024297364,0.10602707684223375,-0.007971971464958448
4,pitch,256,32,single_stft,cosine,0.12290015111551332,0.05116954573230257,0.1170215643370836
4,pitch,256,32,linear_mss,cosine,0.06263354304556423,0.08461450683401531,0.059261891735488105
4,pitch,256,32,smooth_mss,cosine,0.09462949338559073,0.09529965045323767,0.09594214038471252
4,pitch,256,32,sot_published_composite,cosine,0.018994997644848743,0.07389158586079626,0.012758484540486104
4,pitch,256,32,linear_jtfot,cosine,0.06594683168543142,0.05797832383188552,0.06167574349953399
4,pitch,256,32,log_jtfot,cosine,0.09130846391454962,0.05959648953433776,0.0998810339103638
4,pitch,256,32,bidirectional_cumulative_energy,cosine,0.2805565301643557,0.08534871326650029,0.2705385375657161
4,pitch,256,32,log_quadrature_bicul,cosine,0.29122827479146174,0.09074409850038277,0.28346191336189996
4,pitch,256,32,fading,cosine,0.3302141366812881,0.08540237862449428,0.3307486619701494
4,pitch,256,32,waveform_l1,phrase_success,0.0440673828125,0.027714479443106205,0.0390625
4,pitch,256,32,waveform_mse,phrase_success,0.0419921875,0.044648482148504476,0.0234375
4,pitch,256,32,single_stft,phrase_success,0.08056640625,0.03651941108455477,0.072265625
4,pitch,256,32,linear_mss,phrase_success,0.0908203125,0.039550878478325335,0.087890625
4,pitch,256,32,smooth_mss,phrase_success,0.1356201171875,0.04708699515511518,0.130859375
4,pitch,256,32,sot_published_composite,phrase_success,0.131591796875,0.05308382295169675,0.125
4,pitch,256,32,linear_jtfot,phrase_success,0.0697021484375,0.034443511257790806,0.06640625
4,pitch,256,32,log_jtfot,phrase_success,0.095703125,0.05056268877810766,0.083984375
4,pitch,256,32,bidirectional_cumulative_energy,phrase_success,0.1539306640625,0.0772943452645629,0.126953125
4,pitch,256,32,log_quadrature_bicul,phrase_success,0.16552734375,0.07833735001668163,0.138671875
4,pitch,256,32,fading,phrase_success,0.2332763671875,0.10128701381557932,0.21484375
4,pitch,256,32,waveform_l1,zero_gradient,0.0,0.0,0.0
4,pitch,256,32,waveform_mse,zero_gradient,0.0,0.0,0.0
4,pitch,256,32,single_stft,zero_gradient,0.0,0.0,0.0
4,pitch,256,32,linear_mss,zero_gradient,0.0,0.0,0.0
4,pitch,256,32,smooth_mss,zero_gradient,0.0,0.0,0.0
